Si/Al_prior,BETarea/m2g-1_prior,Microporevolume/cm3g-1_prior,Mesoporevolume/cm3g-1_prior,Mesoporearea/m2g-1_prior,NaOHConcentration/M_treat,T/B0C_alktreat,Time/min_alktreat,zeoliteConcentration(g/mL)_alktreat,Si/Al_after,BETarea_a/m2g-1_after,Microporevolume/cm3g-1_after,Mesoporevolume_a/cm3g-1_after,Mesoporearea/m2g-1_after
22.0,339.0,0.124,0.053,101.0,0.2,65.0,120.0,0.05,19.4,307.0,0.13,0.05,54.0
15.0,412.0,0.12,0.15,76.0,0.6,65.0,30.0,0.0333333333333333,10.0,444.0,0.13,0.38,147.0
39.0,456.0,0.17,0.13,78.0,0.1,65.0,30.0,0.0333333333333333,34.0,497.0,0.15,0.19,135.0
39.0,456.0,0.17,0.13,78.0,0.2,65.0,30.0,0.0333333333333333,25.0,589.0,0.13,0.4,288.0
39.0,456.0,0.17,0.13,78.0,0.3,65.0,30.0,0.0333333333333333,17.0,637.0,0.09,0.78,417.0
39.0,456.0,0.17,0.13,78.0,0.5,65.0,30.0,0.0333333333333333,7.0,519.0,0.08,0.98,336.0
39.0,456.0,0.17,0.13,78.0,0.7,65.0,30.0,0.0333333333333333,4.0,349.0,0.02,0.94,294.0
10.0,394.0,0.12,0.34,102.0,0.2,65.0,30.0,0.033,23.0,378.0,0.12,0.37,91.0
10.0,394.0,0.12,0.34,102.0,0.4,65.0,30.0,0.033,23.0,441.0,0.14,0.38,104.0
10.0,394.0,0.12,0.34,102.0,0.6,65.0,30.0,0.033,23.0,430.0,0.14,0.28,112.0
10.0,394.0,0.12,0.34,102.0,0.8,65.0,30.0,0.033,23.0,410.0,0.12,0.29,133.0
10.0,394.0,0.12,0.34,102.0,1.0,65.0,30.0,0.033,23.0,241.0,0.03,0.63,170.0
10.0,394.0,0.12,0.34,102.0,1.2,65.0,30.0,0.033,23.0,209.0,0.02,0.68,163.0
15.0,412.0,0.14,0.15,76.0,0.2,65.0,30.0,0.033,23.0,318.0,0.11,0.11,37.0
15.0,412.0,0.14,0.15,76.0,0.4,65.0,30.0,0.033,23.0,474.0,0.15,0.24,103.0
15.0,412.0,0.14,0.15,76.0,0.6,65.0,30.0,0.033,23.0,444.0,0.13,0.38,147.0
15.0,412.0,0.14,0.15,76.0,0.7,65.0,30.0,0.033,23.0,441.0,0.1,0.45,214.0
15.0,412.0,0.14,0.15,76.0,0.8,65.0,30.0,0.033,23.0,491.0,0.12,0.55,228.0
15.0,412.0,0.14,0.15,76.0,1.0,65.0,30.0,0.033,3.0,354.0,0.05,0.59,236.0
15.0,412.0,0.14,0.15,76.0,1.2,65.0,30.0,0.033,23.0,346.0,0.07,0.67,168.0
15.0,412.0,0.14,0.15,76.0,1.4,65.0,30.0,0.033,3.0,352.0,0.11,0.4,69.0
25.0,461.0,0.17,0.14,76.0,0.2,65.0,30.0,0.033,23.0,451.0,0.12,0.39,163.0
25.0,461.0,0.17,0.14,76.0,0.3,65.0,30.0,0.033,23.0,475.0,0.12,0.54,200.0
25.0,461.0,0.17,0.14,76.0,0.4,65.0,30.0,0.033,23.0,470.0,0.12,0.81,185.0
25.0,461.0,0.17,0.14,76.0,0.6,65.0,30.0,0.033,23.0,447.0,0.11,0.46,187.0
25.0,461.0,0.17,0.14,76.0,0.8,65.0,30.0,0.033,23.0,448.0,0.1,0.55,221.0
40.0,468.0,0.17,0.11,78.0,0.1,65.0,30.0,0.033,23.0,496.0,0.15,0.18,132.0
40.0,468.0,0.17,0.11,78.0,0.2,65.0,30.0,0.033,23.0,489.0,0.11,0.47,212.0
40.0,468.0,0.17,0.11,78.0,0.3,65.0,30.0,0.033,23.0,585.0,0.08,0.87,378.0
40.0,468.0,0.17,0.11,78.0,0.4,65.0,30.0,0.033,23.0,573.0,0.08,1.15,358.0
40.0,468.0,0.17,0.11,78.0,0.5,65.0,30.0,0.033,23.0,671.0,0.11,1.39,403.0
40.0,468.0,0.17,0.11,78.0,0.6,65.0,30.0,0.033,23.0,502.0,0.09,0.97,293.0
43.0,407.5,0.14,0.11,115.0,0.3,65.0,0.5,0.0333333333333333,21.0,440.5,0.12,0.74,301.0
43.0,407.5,0.14,0.11,115.0,0.5,65.0,0.5,0.0333333333333333,8.0,440.5,0.09,1.07,289.0
32.0,377.0,0.17,0.06,40.0,0.2,65.0,30.0,0.033,20.0,454.0,0.16,0.21,145.0
32.0,377.0,0.17,0.06,40.0,0.2,80.0,30.0,0.033,18.0,446.0,0.15,0.2,135.0
32.0,377.0,0.17,0.06,40.0,0.2,80.0,300.0,0.033,18.0,435.0,0.15,0.28,98.0
31.6,407.5,0.105,0.068,59.0,0.1,80.0,300.0,0.03,24.4,440.5,0.127,0.147,79.0
31.6,407.5,0.105,0.068,59.0,0.2,80.0,300.0,0.03,18.3,440.5,0.119,0.225,124.0
31.6,407.5,0.105,0.068,59.0,0.5,80.0,300.0,0.03,4.4,440.5,0.062,0.271,140.0
16.5,389.0,0.157,0.09,33.0,0.1,80.0,60.0,0.0133333333333333,23.0,399.0,0.158,0.098,35.0
16.5,389.0,0.157,0.09,33.0,0.1,80.0,120.0,0.0133333333333333,23.0,483.0,0.16,0.186,121.0
16.5,389.0,0.157,0.09,33.0,0.1,80.0,240.0,0.0133333333333333,23.0,535.0,0.087,0.38,309.0
58.0,393.0,0.16,0.04,27.0,0.2,65.0,30.0,0.033,28.0,425.0,0.15,0.23,88.0
42.0,449.0,0.17,0.13,58.0,0.2,45.0,30.0,0.0332,36.0,462.0,0.14,0.22,128.0
42.0,449.0,0.17,0.13,58.0,0.2,55.0,30.0,0.0332,30.0,486.0,0.12,0.31,208.0
42.0,449.0,0.17,0.13,58.0,0.2,65.0,30.0,0.0332,26.0,510.0,0.09,0.48,277.0
16.4,303.0,0.184,0.0154,55.0,0.05,65.0,5.0,0.0133333333333333,15.9,211.0,0.123,0.013,147.0
16.4,303.0,0.184,0.0154,55.0,0.05,65.0,10.0,0.0133333333333333,16.1,239.0,0.14,0.0223,147.0
16.4,303.0,0.184,0.0154,55.0,0.05,65.0,30.0,0.0133333333333333,15.2,263.0,0.163,0.0421,147.0
16.4,303.0,0.184,0.0154,55.0,0.05,65.0,120.0,0.0133333333333333,15.2,279.0,0.168,0.0594,147.0
16.4,303.0,0.184,0.0154,55.0,0.05,65.0,300.0,0.0133333333333333,14.5,234.0,0.149,0.0592,147.0
16.4,303.0,0.184,0.0154,55.0,0.1,65.0,120.0,0.0133333333333333,14.5,287.0,0.14,0.0292,147.0
16.4,303.0,0.184,0.0154,55.0,0.1,65.0,300.0,0.0133333333333333,14.5,292.0,0.14,0.0474,147.0
16.4,303.0,0.184,0.0154,55.0,0.2,80.0,30.0,0.0133333333333333,14.5,321.0,0.17,0.177,147.0
16.4,303.0,0.184,0.0154,55.0,0.2,80.0,120.0,0.0133333333333333,14.5,311.0,0.177,0.2,147.0
16.4,303.0,0.184,0.0154,55.0,0.2,80.0,300.0,0.0133333333333333,14.5,320.0,0.133,0.279,147.0
25.9,282.0,0.11,0.09,55.0,0.05,50.0,60.0,0.0133333333333333,24.3,328.0,0.12,0.14,147.0
25.9,282.0,0.11,0.09,55.0,0.2,80.0,300.0,0.0133333333333333,24.3,377.0,0.08,0.43,147.0
37.0,430.0,0.17,0.09,40.0,0.2,80.0,60.0,0.033,24.3,450.0,0.12,0.43,130.0
37.0,430.0,0.17,0.09,40.0,0.2,35.0,30.0,0.033,24.3,440.0,0.16,0.43,55.0
37.0,430.0,0.17,0.09,40.0,0.2,45.0,30.0,0.033,33.0,455.0,0.16,0.43,70.0
37.0,430.0,0.17,0.09,40.0,0.2,55.0,30.0,0.033,33.0,520.0,0.15,0.43,160.0
